"Dev comments","Record ID","src_enUS","PTfixPing","tg_frFR","tg_deDE","tg_ptBR","tg_esLA","tg_jaJP","tg_zhCN","tg_plPL","tg_ukUA","tg_ruRU","tg_trTR","Last modified time","Path"
"","ST_HW_Achilles_AbilityNames,Khepri.A03","Solar Flare","true","Éruption solaire","Sonneneruption","Queimadura Solar","Llamarada solar","太陽フレア","太阳耀斑","Rozbłysk Słońca","Сонячний спалах","Солнечная вспышка","Güneş Kıvılcımı","2025-04-08T15:42:53Z","ST_HW_Achilles_AbilityNames"
"","ST_HW_Achilles_AbilityNames,Khepri.A04","Scarab's Blessing","true","Bénédiction du scarabée","Skarabäus-Segen","Benção do Escaravelho","Bendición de escarabajo","スカラベの祝福","圣甲虫的祝福","Dar Skarabeusza","Благословення скарабея","Благословение скарабея","Bokböceği'nin Kutsaması","2025-04-08T15:42:53Z","ST_HW_Achilles_AbilityNames"
"","ST_HW_Achilles_AbilityNames,Khepri.Inhand","Khepri Basic Attack","true","Attaque de base de Khepri","Grundangriff Khepri","Ataque básico de Khepri","Ataque básico de Khepri","ケプリ基本攻撃","凯布利 普通攻击","Atak podstawowy Chepriego","Базова атака Хепрі","Базовая атака Хепри","Khepri Temel Saldırı","2025-04-08T15:42:53Z","ST_HW_Achilles_AbilityNames"
"","ST_HW_Achilles_AbilityNames,Khepri.PSV","Fortitude","true","Force d'âme","Tapferkeit","Fortitude","Fortaleza","不屈","神圣壁垒","Hart","Мужність","Храбрость","Cesaret","2025-04-08T15:42:53Z","ST_HW_Achilles_AbilityNames"
,"ST_HW_Agni_AbilityNames,Agni.A01","Noxious Fumes","true","Vapeurs nocives","Giftige Dämpfe","Gases Nocivos","Gases nocivos","毒霧","剧毒熏烟","Trujące Opary","Отруйні випари","Ядовитые испарения","Zararlı Duman","2025-04-08T15:42:53Z","ST_HW_Agni_AbilityNames"
,"ST_HW_Agni_AbilityNames,Agni.A02","Flame Wave","true","Vague de feu","Flammenwelle","Onda de Fogo","Oleada de fuego","フレイムウェイブ","烈焰波","Fala Płomieni","Хвиля вогню","Волна пламени","Alev Dalgası","2025-04-08T15:42:53Z","ST_HW_Agni_AbilityNames"
,"ST_HW_Agni_AbilityNames,Agni.A03","Path of Flames","true","Sentier enflammé","Pfad der Flammen","Caminho de Chamas","Camino de las llamas","パス・オブ・フレイム","烈焰之径","Ścieżka Płomieni","Шлях вогню","Путь огня","Alev Yolu","2025-04-08T15:42:53Z","ST_HW_Agni_AbilityNames"
,"ST_HW_Agni_AbilityNames,Agni.A04","Rain Fire","true","Pluie de feu","Feuerregen","Chuva de Fogo","Lluvia de fuego","レインファイア","天火之雨","Deszcz Ognia","Вогняний дощ","Огненный дождь","Ateş Yağmuru","2025-04-08T15:42:53Z","ST_HW_Agni_AbilityNames"
,"ST_HW_Agni_AbilityNames,Agni.Basic","Agni Basic Attack","true","Attaque de base d'Agni","Grundangriff Agni","Ataque Básico de Agni","Ataque básico de Agni","アグニ基本攻撃","阿格尼 普通攻击","Podstawowy atak Agniego","Базова атака Агні","Базовая атака Агни","Agni Temel Saldırı","2025-04-08T15:42:53Z","ST_HW_Agni_AbilityNames"
,"ST_HW_Agni_AbilityNames,Agni.PSV","Combustion","true","Combustion","Verbrennung","Combustão","Combustión","燃焼","火势升腾","Zapłon","Запалювання","Воспламенение","Tutuştur","2025-04-08T15:42:53Z","ST_HW_Agni_AbilityNames"
,"ST_HW_Aphrodite_AbilityNames,Aphrodite.A01","Kiss","true","Doux baiser","Kuss","Beijo","Beso","キス","美神飞吻","Pocałunek","Поцілунок","Поцелуй","Öpücük","2025-04-08T15:42:53Z","ST_HW_Aphrodite_AbilityNames"
,"ST_HW_Aphrodite_AbilityNames,Aphrodite.A02","Back Off!","true","Ouste !","Verschwinde!","Afasta!","¡Retrocede!","下がれ！","气场爆发","Daj Mi Spokój!","Відступи!","Посторонись!","Geri Bas!","2025-04-08T15:42:53Z","ST_HW_Aphrodite_AbilityNames"
,"ST_HW_Aphrodite_AbilityNames,Aphrodite.A03","Love Birds","true","Tourtereaux","Turteltäubchen","Pombinhos do Amor","Aves de amor","愛の鳥","白鸽翱翔","Gołąbeczki Miłości","Закохані пташки","Птицы любви","Aşk Kuşları","2025-04-08T15:42:53Z","ST_HW_Aphrodite_AbilityNames"
,"ST_HW_Aphrodite_AbilityNames,Aphrodite.A04","Undying Love","true","Amour éternel","Unsterbliche Liebe","Amor Eterno","Amor eterno","不滅の愛","不朽之爱","Dozgonna Miłość","Безсмертне кохання","Бессмертная любовь","Ölümsüz Aşk","2025-04-08T15:42:53Z","ST_HW_Aphrodite_AbilityNames"
,"ST_HW_Aphrodite_AbilityNames,Aphrodite.Basic","Aphrodite Basic Attack","true","Attaque de base d'Aphrodite","Grundangriff Aphrodite","Ataque Básico de Afrodite","Ataque básico de Afrodita","アフロディーテ基本攻撃","阿弗洛狄忒 普通攻击","Podstawowy atak Afrodyty","Базова атака Афродіти","Базовая атака Афродиты","Afrodit Temel Saldırı","2025-04-08T15:42:53Z","ST_HW_Aphrodite_AbilityNames"
,"ST_HW_Aphrodite_AbilityNames,Aphrodite.PSV","Center of Attention","true","Centre de l'attention","Zentrum der Aufmerksamkeit","Centro das Atenções","Centro de atención","注目の的","万众瞩目","W Centrum Uwagi","Центр уваги","Центр внимания","İlgi Odağı","2025-04-08T15:42:53Z","ST_HW_Aphrodite_AbilityNames"
"","ST_HW_Apollo_AbilityNames,Apollo.A01","So Beautiful","true","Si mélodieux","So Schön","Tão Lindo","Tanta belleza","美しく","动人心弦","Tak Pięknie","Так прекрасно","Так прекрасно","Çok Güzel","2025-04-08T15:42:53Z","ST_HW_Apollo_AbilityNames"
"","ST_HW_Apollo_AbilityNames,Apollo.A02","Serenade","true","Sérénade","Ständchen","Serenata","Serenata","小夜曲","月下夜曲","Serenada","Серенада","Серенада","Serenat","2025-04-08T15:42:53Z","ST_HW_Apollo_AbilityNames"
"","ST_HW_Apollo_AbilityNames,Apollo.A03","The Moves","true","Mouvements experts","Die Moves","A Ginga","El ritmo","滑走","极速滑行","Te Ruchy","Рухи","Движения","Hareket","2025-04-08T15:42:53Z","ST_HW_Apollo_AbilityNames"
"","ST_HW_Apollo_AbilityNames,Apollo.A04","Across the Sky","true","À travers les cieux","Durch den Himmel","Através do Céu","A través del cielo","彼方より来し者","黄金战车","Przez Nieboskłon","Крізь небеса","Сквозь небеса","Göklerde","2025-04-08T15:42:53Z","ST_HW_Apollo_AbilityNames"
,"ST_HW_Apollo_AbilityNames,Apollo.Basic","Apollo Basic Attack","true","Attaque de base d'Apollon","Grundangriff Apollo","Ataque Básico de Apolo","Ataque básico de Apolo","アポロン基本攻撃","阿波罗 普通攻击","Podstawowy atak Apolla","Базова атака Аполлона","Базовая атака Аполлона","Apollo Temel Saldırı","2025-04-08T15:42:53Z","ST_HW_Apollo_AbilityNames"
"","ST_HW_Apollo_AbilityNames,Apollo.PSV","Audacity","true","Audace","Kühnheit","Audácia","Audacia","傲岸不遜","勇者无畏","Śmiałość","Сміливість","Смелость","Cesaret","2025-04-08T15:42:53Z","ST_HW_Apollo_AbilityNames"
"","ST_HW_Arachne_AbilityNames,Arachne.A01","Venomous Bite","true","Morsure venimeuse","Giftiger Biss","Picada Venenosa","Mordida ponzoñosa","毒の牙","剧毒噬咬","Jadowite Ugryzienie","Отруйний укус","Ядовитый укус","Zehirli Isırık","2025-04-08T15:42:53Z","ST_HW_Arachne_AbilityNames"
"","ST_HW_Arachne_AbilityNames,Arachne.A02","Cocoon","true","Cocon","Kokon","Casulo","Crisálida","繭の縛め","束缚之茧","Kokon","Кокон","Кокон","Koza","2025-04-08T15:42:53Z","ST_HW_Arachne_AbilityNames"
"","ST_HW_Arachne_AbilityNames,Arachne.A03","Web","true","Toile","Netz","Teias","Telaraña","糸","蛛网之墙","Sieć","Павутина","Паутина","Ağ","2025-04-08T15:42:53Z","ST_HW_Arachne_AbilityNames"
"","ST_HW_Arachne_AbilityNames,Arachne.A04","Night Crawler","true","Rampante nocturne","Nachtschwärmer","Rastejar Aterrorizante","Grito espeluznante","夜を這うもの","暗夜爬行者","Nocna Pełzaczka","Нічне полювання","Ночная охота","Gece Sürüngeni","2025-04-08T15:42:53Z","ST_HW_Arachne_AbilityNames"
,"ST_HW_Arachne_AbilityNames,Arachne.Basic","Arachne Basic Attack","true","Attaque de base d'Arachné","Grundangriff Arachne","Ataque Básico de Aracne","Ataque básico de Aracne","アラクネ基本攻撃","阿拉克尼 普通攻击","Podstawowy atak Arachne","Базова атака Арахни","Базовая атака Арахны","Arachne Temel Saldırı","2025-04-08T15:42:53Z","ST_HW_Arachne_AbilityNames"
"","ST_HW_Arachne_AbilityNames,Arachne.PSV","Predator","true","Prédatrice","Räuber","Predadora","Depredadora","プレデター","弱肉强食","Drapieżniczka","Хижак","Хищник","Avcı","2025-04-08T15:42:53Z","ST_HW_Arachne_AbilityNames"
"","ST_HW_Artemis_AbilityNames,Artemis.A01","Transgressor's Fate","true","Sort du transgresseur","Sünders Schicksal","Destino do Transgressor","Destino del trasgresor","罪人の運命","违逆者的命运","Los Przestępcy","Доля порушника","Судьба грешника","İhlalcinin Kaderi","2025-04-08T15:42:53Z","ST_HW_Artemis_AbilityNames"
"","ST_HW_Artemis_AbilityNames,Artemis.A02","Vengeful Assault","true","Assaut vengeur","Rachsüchtiger Angriff","Assalto Vingativo","Asalto vengativo","リベンジアサルト","复仇袭击","Mściwy Atak","Мстивий напад","Мстительное нападение","İntikam Saldırısı","2025-04-08T15:42:53Z","ST_HW_Artemis_AbilityNames"
"","ST_HW_Artemis_AbilityNames,Artemis.A03","Suppress the Insolent","true","Répression des insolents","Unterdrückt die Vorlauten","Suprimir o Insolente","Supresor de insolentes","傲慢の抑圧","挫锐箭雨","Poskromienie Zuchwałych","Придушення зухвальства","Подавление дерзости","Küstahı Bastır","2025-04-08T15:42:53Z","ST_HW_Artemis_AbilityNames"
"","ST_HW_Artemis_AbilityNames,Artemis.A04","Calydonian Boar","true","Sanglier de Calydon","Kalydonischer Eber","Javali Caledônio","Jabalí de Calidón","カリュドンのイノシシ","卡吕冬野猪","Dzik Kalidoński","Калідонський вепр","Калидонский вепрь","Kalidon Yaban Domuzu","2025-04-08T15:42:53Z","ST_HW_Artemis_AbilityNames"
,"ST_HW_Artemis_AbilityNames,Artemis.Basic","Artemis Basic Attack","true","Attaque de base d'Artémis","Grundangriff Artemis","Ataque Básico de Ártemis","Ataque básico de Artemisa","アルテミス基本攻撃","阿尔忒弥斯 普通攻击","Podstawowy atak Artemidy","Базова атака Артеміди","Базовая атака Артемиды","Artemis Temel Saldırı","2025-04-08T15:42:53Z","ST_HW_Artemis_AbilityNames"
"","ST_HW_Artemis_AbilityNames,Artemis.PSV","Still Target","true","Mater la cible","Ruhiges Ziel","Alvo imóvel","Objetivo fijo","動かぬ敵","百步穿杨","Nieruchomy Cel","Нерухома ціль","Неподвижная цель","Hareketsiz Hedef","2025-04-08T15:42:53Z","ST_HW_Artemis_AbilityNames"
"","ST_HW_Atlas_AbilityNames,Atlas.A01","Unburden","true","Délestage","Entlastung","Aliviar","Aliviar la carga","荷下ろし","解除重负","Uwolnienie od Brzemienia","Скидання тягаря","Снятие бремени","Külfetsiz","2025-04-08T15:42:53Z","ST_HW_Atlas_AbilityNames"
"","ST_HW_Atlas_AbilityNames,Atlas.A02","Gravity Pull","true","Attraction gravitationnelle","Schwerkraftsog","Puxão Gravitacional","Atracción de la gravedad","引力","重力牵引","Ciąg Grawitacyjny","Земне тяжіння","Земное притяжение","Yerçekimi","2025-04-08T15:42:53Z","ST_HW_Atlas_AbilityNames"
"","ST_HW_Atlas_AbilityNames,Atlas.A03","Kinetic Charge","true","Charge cinétique","Kinetischer Ansturm","Avanço Cinético","Carga cinética","動的突撃","急动冲锋","Kinetyczna Szarża","Швидкісний ривок","Скоростной рывок","Kinetik Yük","2025-04-08T15:42:53Z","ST_HW_Atlas_AbilityNames"
"","ST_HW_Atlas_AbilityNames,Atlas.A04","Gamma-Ray Burst","true","Rayon gamma","Gammastrahl","Raio Gama","Explosión de rayos gamma","ほとばしるガンマ線","伽马光束爆发","Wybuch Promieniowania Gamma","Гамма-всплеск","Гамма-всплеск","Gama Işını Patlaması","2025-04-08T15:42:53Z","ST_HW_Atlas_AbilityNames"
,"ST_HW_Atlas_AbilityNames,Atlas.Basic","Atlas Basic Attack","true","Attaque de base d'Atlas","Grundangriff Atlas","Ataque básico de Atlas","Ataque básico de Atlas","アトラス基本攻撃","阿特拉斯普通攻击","Podstawowy atak Atlasa","Базова атака Атласа","Базовая атака Атласа","Atlas Temel Saldırı","2025-04-08T15:42:53Z","ST_HW_Atlas_AbilityNames"
"","ST_HW_Atlas_AbilityNames,Atlas.PSV","The Astrolabe","true","Astrolabe","Das Astrolabium","O Astrolábio","El astrolabio","アストロラーベ","星盘","Astrolabium","Астролябія","Астролябия","Usturlap","2025-04-08T15:42:53Z","ST_HW_Atlas_AbilityNames"
"","ST_HW_Awilix_AbilityNames,Awilix.A01","Summon Suku","true","Invoquer Suku","Beschwöre Suku","Conjurar Suku","Invocar a Suku","スークーの召喚","召唤斯克","Wezwanie Suku","Заклик Суку","Призыв Суку","Suku'yu Çağır","2025-04-08T15:42:53Z","ST_HW_Awilix_AbilityNames"
"","ST_HW_Awilix_AbilityNames,Awilix.A02","Feather Step","true","Marche de plume","Federschritt","Passo Leve","Paso pluma","フェザーステップ","轻羽跃步","Lekki Krok","Легкий стрибок","Легкий прыжок","Hafif Adım","2025-04-08T15:42:53Z","ST_HW_Awilix_AbilityNames"
"","ST_HW_Awilix_AbilityNames,Awilix.A03","Moonlight Charge","true","Attaque du clair de lune","Mondlicht-Angriff","Expansão Lunar","Carga de luz de luna","月明かりチャージ","月光冲击","Moc Światła Księżyca","Розряд місячного світла","Разряд лунного света","Ayışığı Hücumu","2025-04-08T15:42:53Z","ST_HW_Awilix_AbilityNames"
"","ST_HW_Awilix_AbilityNames,Awilix.A04","Gravity Surge","true","Vague de pesanteur","Schwerkraftsog","Surto Gravitacional","Ola gravitacional","重力のうねり","引力爆发","Kipiel Grawitacji","Хвиля гравітації","Волна гравитации","Yerçekimi Darbesi","2025-04-08T15:42:53Z","ST_HW_Awilix_AbilityNames"
,"ST_HW_Awilix_AbilityNames,Awilix.Basic","Awilix Basic Attack","true","Attaque de base d'Awilix","Grundangriff Awilix","Ataque básico da Awilix","Ataque básico de Awilix","アヴィリシュ基本攻撃","奥薇莉克斯 普通攻击","Podstawowy atak Awilix","Базова атака Авілікс","Базовая атака Авиликс","Awilix Temel Saldırı","2025-04-08T15:42:53Z","ST_HW_Awilix_AbilityNames"
"","ST_HW_Awilix_AbilityNames,Awilix.PSV","Initiative","true","Initiative","Initiative","Iniciativa","Iniciativa","イニシアチブ","先发制人","Inicjatywa","Ініціатива","Инициатива","Girişim","2025-04-08T15:42:53Z","ST_HW_Awilix_AbilityNames"
"","ST_HW_Bari_AbilityNames,Bari.A01","Sacred Bell","true","Cloche sacrée","Heilige Glocke","Sino Sagrado","Campana sagrada","聖なる鈴","神圣之铃","Święty Dzwon","Священний дзвін","Священный колокольчик","Kutsal Çan","2025-04-08T15:42:53Z","ST_HW_Bari_AbilityNames"
