"Dev comments","Marked","OB6","Record ID","src_enUS","tg_frFR","tg_deDE","tg_ptBR","tg_esLA","tg_jaJP","tg_zhCN","tg_plPL","tg_ukUA","tg_ruRU","tg_trTR","Last modified time","Last modified source","Path"
,"false","false",",203F752747A9FF618632A3AA0FE96EF6","Final Reward","Récompense finale","Letzte Belohnung","Recompensa final","Recompensa Final","最終報酬","你好","Ostateczna nagroda",,,"Final Ödülü","2025-03-10T12:02:54Z","2025-03-10T12:02:54Z",
,"false","false",",209C125D4BAB4098EB27C9A6EC825652","Morgan Le Fey",,,,,,,,,,,"2025-03-17T17:01:52Z","2025-03-17T17:01:52Z",
"","false","false",",23B3905F406D6F5D5FA6DCA04A5A91D9","Long Description...",,,,,,,,,,,"2025-04-08T13:22:25Z","2025-04-08T13:22:25Z",
,"false","false",",2433745D4638053705E125AB5BBA255C","SKIP TO CHALLENGE",,,,,,,,,,,"2025-02-24T20:35:43Z","2025-02-17T15:55:12Z",
,"false","false",",24870B2A4846F658A94826B6C1F33748","ARENA NPE RH QUEUE [TEST]","ARENA NPE [TEST]","ARENA NPE [TEST]","ARENA NPE [TEST]","ARENA NPE [TEST]","ARENA NPE [TEST]","ARENA NPE [TEST]","ARENA NPE [TEST]","ARENA NPE [TEST]","ARENA NPE [TEST]","ARENA NPE [TEST]","2025-03-03T20:49:20Z","2025-03-03T20:49:20Z",
,"false","false",",259F7FFF4C90F654DDCBC9A1576ACFD1","Ultimate Used",,,,,,,,,,,"2025-02-24T20:35:43Z","2025-02-17T15:55:12Z",
,"false","false",",285CD76B4CE34F5F6F218B973C0639FD","Points: 0","0 points","0 Punkte","0 pontos","0 Puntos",,"0点","0 punktów",,"0 очков","0 Puan","2025-02-25T01:48:46Z","2025-02-17T15:55:12Z",
,"false","false",",292924BD4223AF741038AEA554AC73DD","Learn about the basics of abilities. ",,,,,,,,,,,"2025-02-24T20:35:43Z","2025-02-17T15:55:12Z",
,"false","false",",2BC7B879462EF079BB743E91C0F6DCBD","Match Lobby",,"Match-Lobby","Lobby de partida","Sala de la partida","試合ロビー","比赛大厅","Lobby meczu",,"Лобби матча","Karşılaşma Lobisi","2025-03-24T16:52:43Z","2025-02-24T17:21:00Z",
,"false","false",",2D085FD2440EC9C1F9D596A2A91ADD4C","MATCH LOBBY",,"Match-Lobby","lobby de partida","Vestíbulo del partido","試合ロビー","比赛大厅","Lobby meczu",,"Лобби матча","Karşılaşma Lobisi","2025-03-24T16:52:41Z","2025-02-24T17:21:00Z",
,"false","false",",2F1A2AD64D1C42F2D1FF78B586F4D431","x3",,,,,,,,,,,"2025-03-24T16:41:50Z","2025-03-24T16:41:50Z",
,"false","false",",315E33C847F3196BFF1E7EB36875648E","{NT} Not Equipped",,,,,,,,,,,"2025-03-24T16:41:50Z","2025-03-24T16:41:50Z",
,"false","false",",349A76B14F4315463FBFA4AE960694A5","{NT} Equipping item",,,,,,,,,,,"2025-03-24T16:41:50Z","2025-03-24T16:41:50Z",
,"false","false",",364DBDBA4342A65F18620A990BAAF174","FIRST ABILITY",,,,,,,,,,,"2025-03-10T11:31:55Z","2025-03-10T11:31:55Z",
,"false","false",",36D0ED15461D467D7434CFB4B9B52225","Restart Challenge",,,,,,,,,,,"2025-02-24T20:35:43Z","2025-02-17T15:55:12Z",
,"false","false",",3829D76D457DB388E1C7D9B6E14F5E62","ELDER GOD",,,,,,,,,,,"2025-02-24T20:35:43Z","2025-02-17T15:55:12Z",
,"false","false",",3C9886A04332305EF5486B9BBB3AF513","Before we begin, let's acquire your Purification Beads Relic. Select it in the Item Store and press the Buy button",,,,,,,,,,,"2025-02-24T20:35:43Z","2025-02-17T15:55:12Z",
,"false","false",",448254324F8539E9E4BA599BB072088A","LET'S TRY IT!",,,,,,,,,,,"2025-02-24T20:35:43Z","2025-02-17T15:55:12Z",
,"false","false",",45E35CD3445A61FFEE3513BDEA2E0716","100x",,,,,,,,,,,"2025-02-25T01:49:03Z","2025-02-17T15:55:12Z",
,"false","false",",4D6FF1CA474573E860D62194A93087D8","+1000",,,,,,,,,,,"2025-02-25T01:49:03Z","2025-02-17T15:55:12Z",
,"false","false",",589D3DE54D3F1EB6213ED6ACB7EA2276","Watch out! Use your third ability to escape!",,,,,,,,,,,"2025-02-25T01:49:03Z","2025-02-17T15:55:12Z",
,"false","false",",5C684885470A64D6C984F58591EB42DE","Journeys - Relics:",,,,,,,,,,,"2025-02-25T01:49:03Z","2025-02-17T15:55:12Z",
,"false","false",",5F157D074B8B73D1A2C68086A329FF62","+100",,,,,,,,,,,"2025-02-25T01:49:03Z","2025-02-17T15:55:12Z",
,"false","false",",63A30DCD41238220CFBC178EF135BEF4","Cleansed CC",,,,,,,,,,,"2025-02-25T01:49:03Z","2025-02-17T15:55:12Z",
,"false","false",",6677720840B7F15CFC466DB5E7DBEE18","$$$ ULTRA GOD GAMER $$$",,,,,,,,,,,"2025-02-17T15:55:12Z","2025-02-17T15:55:12Z",
,"false","false",",6D74E1934732D3A2CE33D58F9B678732","I've lowered your cooldowns. Feel free to use your abilities often!",,,,,,,,,,,"2025-02-24T20:35:35Z","2025-02-17T15:55:12Z",
,"false","false",",6DEE2B8049A5777C697C58B681638D33","Text is here and its not localized",,,,,,,,,,,"2025-04-08T13:22:25Z","2025-04-08T13:22:25Z",
,"false","false",",6E451FCC4BEA1F5DF04B69BAB0D58858","x3",,,,,,,,,,,"2025-03-24T16:41:50Z","2025-03-24T16:41:50Z",
,"false","false",",70CF2C244552543282D9188E176F3BC3","WMM",,,,,,,,,,,"2025-03-10T12:02:54Z","2025-03-10T12:02:54Z",
,"false","false",",7385E6A841D95B1A9DD22DB817FD58BC","Once you choose a Relic, you will not be able to change it later in the match.",,,,,,,,,,,"2025-02-17T15:55:12Z","2025-02-17T15:55:12Z",
,"false","false",",7882DBDF41666FBB2AB5038B844C4698","Great job! Now it's time for a challenge.",,,,,,,,,,,"2025-02-17T15:55:12Z","2025-02-17T15:55:12Z",
,"false","false",",79503ABC4DBF207253D7DBAB86E797AE","Cycle Skin Variants",,,,,,,,,,,"2025-03-10T12:02:54Z","2025-03-10T12:02:54Z",
,"false","false",",79535299415A864ACFE106984F255965","Slay Ymir",,,,,,,,,,,"2025-02-17T16:25:50Z","2025-02-17T15:55:12Z",
,"false","false",",7DDF83A249DBDA8A3D120A8EDA5A1487","Quick Kill",,,,,,,,,,,"2025-02-17T16:25:50Z","2025-02-17T15:55:12Z",
,"false","false",",7FF786074DC7EC8E27F08C9F61C8C9E5","Minion Defeated",,,,,,,,,,,"2025-02-17T16:25:50Z","2025-02-17T15:55:12Z",
,"false","false",",81437CC44905EA347189F897B2035BD9","Use your Relic wisely. Once activated, it will go on cooldown and can't be used again for some time.",,,,,,,,,,,"2025-02-17T16:25:50Z","2025-02-17T15:55:12Z",
,"false","false",",81FD68724163824A9F8C108CACB30526","Welcome! In this lesson you will learn more about abilities.",,,,,,,,,,,"2025-02-17T16:25:50Z","2025-02-17T15:55:12Z",
,"false","false",",8697C19F4E3FB3AEC37B75910E2F00E2","Minions Cleared",,,,,,,,,,,"2025-02-17T16:25:50Z","2025-02-17T15:55:12Z",
,"false","false",",889F074849CAD83AA656E0875A04ACAE","Mortal",,,,,,,,,,,"2025-02-17T16:25:50Z","2025-02-17T15:55:12Z",
,"false","false",",8E7BF2F246E0D6C3A00821A2B5D54C22","CHALLENGE COMPLETE!",,,,,,,,,,,"2025-02-17T16:25:50Z","2025-02-17T15:55:12Z",
,"false","false",",90BAA6C1426CF6FD07B159A584C4B6D3","1 Star - 100 Points
2 Stars - 200 Points
3 Stars - 400 Points
4 Stars - ??? SECRET ???
5 Stars - ?????? ULTRA G O D M O D E ?????? 

To earn a higher rating, defeat Ymir while avoiding more of his Stun attacks

Point Values:
+150 - Cleansed CC
+150 - Slayed Ymir
+200 - Quick Kill
+300 - ???
+300 - ???
-25 - Stunned",,,,,,,,,,,"2025-02-17T15:55:12Z","2025-02-17T15:55:12Z",
"","false","false",",913BE8784ADB4DFC1072B9A899BD2DE7","{NT} Equip Global Emote Slot",,,,,,,,,,,"2025-03-21T15:51:21Z","2025-03-21T15:51:20Z",
,"false","false",",93011E434EE45E936E53468171EBFE66","Neith's third ability can be used to get out of dangerous scenarios.",,,,,,,,,,,"2025-02-17T15:55:12Z","2025-02-17T15:55:12Z",
,"false","false",",9D5600F74C5D484EB8CEFD9D78773EBA","TEMP - GRAPHS",,,,,,,,,,,"2025-03-17T17:01:52Z","2025-03-17T17:01:52Z",
,"false","false",",9DF7DDCB45B9D3D9D08E4F9A8BAD1FB5","SICK BACKFLIP DODGE",,,,,,,,,,,"2025-02-17T15:55:12Z","2025-02-17T15:55:12Z",
,"false","false",",9EF70B33446FAA7893E3A7830C912A93","TITAN",,"TITAN","TITAN",,,,,,"TITAN",,"2025-02-25T01:49:40Z","2025-02-17T15:55:12Z",
,"false","false",",A07E86AD4C1C34DE82CB6BA04E8C85E9","Each god usually has four abilities. These are unique to each god.",,,,,,,,,,,"2025-02-17T16:25:50Z","2025-02-17T15:55:12Z",
,"false","false",",A0C47087463E6FC04B67BBB1DBB7810E","Points: {Points}",,,,,,,,,,,"2025-02-17T16:25:50Z","2025-02-17T15:55:12Z",
,"false","false",",A207C0F94F691929D367A3B4643B0AA7","Defeat Ymir in a one-on-one duel. Use your Purification Beads to cleanse the stun from his Frost Breath attack",,,,,,,,,,,"2025-02-17T16:25:50Z","2025-02-17T15:55:12Z",
,"false","false",",A2E8A5814C675FDE9CB2508C5BF1FA04","Once you use your relic, it will go on cooldown for some time. Until then, you'll have to use other abilities to avoid Ymir's stun.",,,,,,,,,,,"2025-02-17T16:25:50Z","2025-02-17T15:55:12Z",
,"false","false",",A39DE5D447B52D3D3475818687455AB3","SICK BACKFLIP DODGE",,,,,,,,,,,"2025-03-10T11:31:55Z","2025-03-10T11:31:55Z",
,"false","false",",A46C578447EB6349D8A9068AEB77E885","Slayed Ymir",,,,,,,,,,,"2025-02-17T16:26:02Z","2025-02-17T15:55:12Z",
,"false","false",",A5F7143643A38CAA59992FAC206431B6","Sound Emote 3",,,,,,,,,,,"2025-03-31T15:25:25Z","2025-03-31T15:25:23Z",
,"false","false",",AA886E104150AEC9B231B49DA2A80A69","TEACH ME",,,,,,,,,,,"2025-02-17T16:26:02Z","2025-02-17T15:55:12Z",
,"false","false",",AAF6A773429F6F7B25836882DFCE6586","+1000",,,,,,,,,,,"2025-02-25T01:49:47Z","2025-02-17T15:55:12Z",
,"false","false",",ABE26E874D50C8C5689A9F8737155649","Lunar Gods",,,,,,,,,,,"2025-03-17T17:01:52Z","2025-03-17T17:01:52Z",
,"false","false",",AC368B1B4CAF4B50AD18219E8B90C83B","Nice! ",,,,,,,,,,,"2025-02-17T16:26:02Z","2025-02-17T15:55:12Z",
,"false","false",",AC3D3DBC4F012E05508D46900D77DE38","Match Lobby",,,"Lobby de partida","Sala de la partida","試合ロビー","比赛大厅","Lobby meczu",,,"Karşılaşma Lobisi","2025-02-24T20:30:50Z","2025-02-24T17:21:00Z",
,"false","false",",AEA7B36740DB48473BE16592E1BF9AA9","After you use a Relic, you won't be able to use it again for some time.",,,,,,,,,,,"2025-02-17T16:26:02Z","2025-02-17T15:55:12Z",
,"false","false",",AEB529F94425ABF22BC342823AD3B6BC","You've been stunned by Frost Breath - activate your Purification Beads now!",,,,,,,,,,,"2025-02-17T16:26:02Z","2025-02-17T15:55:12Z",
,"false","false",",B2B48C29466BEF8AE5C9F2BD1D9307C2","VIEW ABILITIES",,,,,,,,,,,"2025-03-10T11:31:55Z","2025-03-10T11:31:55Z",
,"false","false",",B72CD1EA478B16E8238789A425A73A3A","Exit Tutorial",,,,,,,,,,,"2025-02-17T16:26:02Z","2025-02-17T15:55:12Z",
,"false","false",",B90C87834029DE11A981EAB67C97E1DC","MorganLeFey",,,,,,,,,,,"2025-03-17T17:01:52Z","2025-03-17T17:01:52Z",
,"false","false",",B96099754B402EB8DC87AFA6A08F11BD","Let's try that again.",,,,,,,,,,,"2025-02-17T16:26:02Z","2025-02-17T15:55:12Z",
,"false","false",",BD786D554FDF4A4D36DCC6A723712F9E","Really Long Subtitle Test",,,,,,,,,,,"2025-02-17T15:55:12Z","2025-02-17T15:55:12Z",
,"false","false",",C22DD7934EF5B5E8D103C6A7ABDFD9A2","Hint: When your Purification Beads are on cooldown, you'll have to use your other abilities to avoid Ymir's Frost Breath attacks.",,,,,,,,,,,"2025-02-17T16:26:02Z","2025-02-17T15:55:12Z",
,"false","false",",C6F551DB4C9C0E71D2FCFC99CFA55188","Great! When you use an ability it goes on cooldown, shown on your ability icon.",,,,,,,,,,,"2025-02-17T15:55:12Z","2025-02-17T15:55:12Z",
,"false","false",",C98FB3B940E0AA94C31F7680E0F7B0F6","Sound Emote 2",,,,,,,,,,,"2025-03-31T15:25:25Z","2025-03-31T15:25:23Z",
,"false","false",",C998966F449170CD8ACAB580645BC155","Requires",,,,,,,,,,,"2025-03-24T16:41:50Z","2025-03-24T16:41:50Z",
,"false","false",",CD50557F4EB36D0B7A2AD18C958D6CC8","Cleansed CC",,,,,,,,,,,"2025-03-10T11:31:55Z","2025-03-10T11:31:55Z",
,"false","false",",CFDC3DBE4FA9216EED2534BAFBDFD2FD","When you have a Relic, you can activate its effect by pressing its input",,,,,,,,,,,"2025-02-17T15:55:12Z","2025-02-17T15:55:12Z",
,"false","false",",D0FD92E244EF48540D808DB796DA5F80","$$$$ ULTRA GOD GAMER $$$$",,,,,,,,,,,"2025-02-17T15:55:12Z","2025-02-17T15:55:12Z",
,"false","false",",D13D914243DAE9A1B372ACB58A369225","{Combo}x",,,,,,,,,,,"2025-02-17T15:55:12Z","2025-02-17T15:55:12Z",
,"false","false",",D32EDFF54502BAB1B920698312F19F0C","PERFECTLY TIMED BEADS",,,,,,,,,,,"2025-02-17T16:26:02Z","2025-02-17T15:55:12Z",
,"false","false",",D41543864D16C10ED233A096351EB8E3"," x {Num}",,,,,,,,,,,"2025-02-24T17:21:00Z","2025-02-24T17:21:00Z",
,"false","false",",D5565236483FB381E5BCE1B32EB17A05","MULTI LINE BLUUUUUUUURB BLUUUUUURB",,,,,,,,,,,"2025-03-17T17:01:52Z","2025-03-17T17:01:52Z",
,"false","false",",D61F4E824B84497B36C056A2B891FC9B","To earn a higher rating, try to defeat multiple Ymirs with one ability

1 Star - 10000 points
2 Stars - 20000 points
3 Stars - 30000 points
4 Stars - ??? SECRET ???
",,,,,,,,,,,"2025-02-17T16:26:02Z","2025-02-17T15:55:12Z",
,"false","false",",D6B7E802471C5200F754DBAFB2D2CB31","+1000",,,,,,,,,,,"2025-02-25T01:50:07Z","2025-02-17T15:55:12Z",
,"false","false",",D755476D4E2B35DC50BD9EBE3C2CD3A1"," x {Num}",,,,,,,,,,,"2025-02-24T17:21:00Z","2025-02-24T17:21:00Z",
,"false","false",",D9712FAB426C5F401C7793828E818182","Ymir stunned you with Frost Breath!! Use your Purification Beads relic to cleanse the effect!",,,,,,,,,,,"2025-02-17T16:26:02Z","2025-02-17T15:55:12Z",
,"false","false",",D9D8A5D0495FBED5E23A9FA70AE6F717","Hint: Use your second ability on targets that are far apart",,,,,,,,,,,"2025-02-17T16:26:02Z","2025-02-17T15:55:12Z",
,"false","false",",DA6A2E8845F8E3484666CDAB0884332B","x10",,,,,,,,,,,"2025-03-24T16:41:50Z","2025-03-24T16:41:50Z",
,"false","false",",DDF3CA8441490F26E42C378664FD9FAF","Your rating:",,,,,,,,,,,"2025-02-17T15:55:12Z","2025-02-17T15:55:12Z",
,"false","false",",E153DB78485CFD57C34BD982CDBCD26E","Purification Beads is a useful Relic for getting out of trouble. Its activation effect prevents any type of Crowd Control, including Stuns, from affecting you for 2 seconds.",,,,,,,,,,,"2025-02-17T15:55:12Z","2025-02-17T15:55:12Z",
,"false","false",",E18B82714BCB0465C5E50BAE5A4F623E","Neith's Ultimate is a powerful long range ability. Use it on Vulcan.",,,,,,,,,,,"2025-02-17T16:26:02Z","2025-02-17T15:55:12Z",
,"false","false",",E5D1EEBB4AA42A140C82FD9978930F73","Sound Emote 4",,,,,,,,,,,"2025-03-31T15:25:25Z","2025-03-31T15:25:23Z",
,"false","false",",ECD92E6F422D623331AAC6AB9F6FC591","At the start of a match, you can buy a Relic for free from the item store.",,,,,,,,,,,"2025-02-17T15:55:12Z","2025-02-17T15:55:12Z",
,"false","false",",ED9CB24648DAB36DF1F451A61CC9DBA4","x2",,,,,,,,,,,"2025-03-24T16:41:50Z","2025-03-24T16:41:50Z",
,"false","false",",EFFA8B574F7F8CCC3D2FF78E5706F0E9","Slayed Ymir",,,,,,,,,,,"2025-03-10T11:31:55Z","2025-03-10T11:31:55Z",
,"false","false",",F2685D7349F6CC108E0669B26C76C168","Start by using your first or second ability on the minion.",,,,,,,,,,,"2025-02-17T15:55:12Z","2025-02-17T15:55:12Z",
,"false","false",",F30AC8A14EA3D0C6BC9835A0F3D5B46E","+1000",,,,,,,,,,,"2025-02-25T01:50:20Z","2025-02-17T15:55:12Z",
,"false","false",",F577BD8A468776D47905F7A2DA183415","Before we begin, let's acquire your Purification Beads Relic. Select it in the Item Store and press the Buy button",,,,,,,,,,,"2025-03-10T11:31:55Z","2025-03-10T11:31:55Z",
,"false","false",",F5F54A3F4C30B41598A157975C99B6C7","Solar Gods",,,,,,,,,,,"2025-03-17T17:01:52Z","2025-03-17T17:01:52Z",
,"false","false",",F6A89DA24527F08699F8BC824023BBFA","+1",,,,,,,,,,,"2025-03-24T16:41:50Z","2025-03-24T16:41:50Z",
,"false","false",",F7865DA948DCBEA6A019AA8AEE99E339","Use your abilities to defeat the gods and earn points by landing combos.",,,,,,,,,,,"2025-02-17T15:55:12Z","2025-02-17T15:55:12Z",
,"false","false",",FA4F5815484C59A46409EC94139DD844","Choice Made",,,,,,,,,,,"2025-03-17T17:01:52Z","2025-03-17T17:01:52Z",
,"false","false",",FADF4AF943716CE02F7A0EA904102D14","{EmoteSlot2}",,,,,,,,,,,"2025-03-24T16:41:50Z","2025-03-24T16:41:50Z",
,"false","false",",FD67CE52429A0C1B1793AEBD63D81541","Quick Kill",,,,,,,,,,,"2025-03-10T11:31:55Z","2025-03-10T11:31:55Z",
,"false","false",",FF04CA6F4DCB3338BD0E59A7CD643A7B","RETRY",,"Wiederholen",,,,,,,,,"2025-02-25T01:34:57Z","2025-02-17T15:55:12Z",
"","false","false","HW.Buff.Names,JungleBuff.Totem.Lightning","Energized Totem of Ku",,,,,,,,,,,"2025-04-03T20:25:58Z","2025-04-03T20:25:58Z","HW.Buff.Names"
"","false","false","HW.Buff.Names,JungleBuff.Totem.Tower.Lightning","Energized Tower",,,,,,,,,,,"2025-04-03T20:25:58Z","2025-04-03T20:25:58Z","HW.Buff.Names"
"","false","false","HW.God.Ability.Descriptions,Amaterasu.A01.InGame.Short.Talent","Provide you and nearby allies with a persistent {STR_FormulaTalent} [{STRBuffScaling_Scaling_Percent}] Strength and {INT_FormulaTalent} [{INTBuffScaling_Scaling_Percent}] Intelligence Buff. 

On activation, provide you and nearby allies with an Attack Speed buff for 6s, and you gain Movement Speed, Haste, and Basic Attack Power for the same duration. ","Vos alliés proches et vous-même obtenez un bonus persistant de {STR_Formula} [{STRBuffScaling_Scaling_Percent}] en force et de {INT_Formula} [{INTBuffScaling_Scaling_Percent}] en intelligence. 

À l'activation, vos alliés proches et vous-même gagnez 6s de bonus de vitesse d'attaque, et vous gagnez un bonus de vitesse de déplacement, d'accélération et d'attaque de base pour la même durée. ","Gewähre dir und Verbündeten in der Nähe einen beständigen Buff für {STR_Formula} [{STRBuffScaling_Scaling_Percent}] Stärke und {INT_Formula} [{INTBuffScaling_Scaling_Percent}] Intelligenz. 

Gewähre dir und Verbündeten in der Nähe bei Aktivierung einen Lauftempo-Buff für 6s und erhöhe für die gleiche Zeit deine Lauftempo-, Eile- und Grundangriffskraft-Werte.","Concede a você e aos aliados próximos um bônus persistente de {STR_Formula} [{STRBuffScaling_Scaling_Percent}] de força e {INT_Formula} [{INTBuffScaling_Scaling_Percent}] de inteligência. 

Ao ativar, concede a você e ao aliados próximos um bônus de cadência por 6s, e você ganha movimento, aceleração e poder de ataque básico pela mesma duração.","Te proporciona a ti y a tus aliados cercanos un potenciamiento persistente de {STR_Formula} [{STRBuffScaling_Scaling_Percent}] de fuerza y {INT_Formula} [{INTBuffScaling_Scaling_Percent}] de inteligencia. 

Al activarse, te proporciona a ti y a tus aliados cercanos una mejora de velocidad de ataque durante 6s y obtienes velocidad de movimiento, aceleración y poder de ataque básico durante la misma duración.","継続する{STR_Formula}[{STRBuffScaling_Scaling_Percent}]の筋力と{INT_Formula}[{INTBuffScaling_Scaling_Percent}]の知力バフを自身と周囲の味方に付与する。

発動すると自身と周囲の味方に6秒間、攻撃速度バフを付与し、自分は同じ効果時間の移動速度、加速、基本攻撃の攻撃力を獲得する。","为你自己和附近盟友提供一个持续的{STR_Formula}[{STRBuffScaling_Scaling_Percent}]力量和{INT_Formula}[{INTBuffScaling_Scaling_Percent}]智慧增益。

激活时，为自己和附近盟友提供一个攻击速度增益，持续6秒，同时在持续期间为你自己提供移动速度、急速、和普通攻击强度增益。","Ty i pobliscy sojusznicy otrzymujecie stałe wzmocnienie: {STR_Formula} [{STRBuffScaling_Scaling_Percent}] pkt. siły i {INT_Formula} [{INTBuffScaling_Scaling_Percent}] pkt. inteligencji.

Po aktywacji zapewniasz sobie i pobliskim sojusznikom premię do szybkości ataku na 6 sek. oraz zyskujesz premię do szybkości ruchu, przyspieszenia i siły ataków podstawowych na ten sam czas.","Дає вам і союзникам поруч постійне підсилення на {STR_Formula} [{STRBuffScaling_Scaling_Percent}] Сили та {INT_Formula} [{INTBuffScaling_Scaling_Percent}]  Розуму. 

Під час активації підсилює вам і союзникам поруч швидкість атаки на 6 с. І на цей же час збільшує вам швидкість руху, Поспіх і силу базової атаки.","Вы и союзники рядом получаете постоянное усиление на {STR_Formula} [{STRBuffScaling_Scaling_Percent}] Силы и {INT_Formula} [{INTBuffScaling_Scaling_Percent}] Разума. 

При активации вы и союзники рядом получаете усиление скорости атаки на 6 с., а вы сами получаете еще и скорость передвижения, эффект спешки и силу базовой атаки на то же время.","Sana ve yakınındaki müttefiklere kalıcı {STR_Formula} [{STRBuffScaling_Scaling_Percent}] Kuvvet ve {INT_Formula} [{INTBuffScaling_Scaling_Percent}] Zekâ güçlendirmesi sağlar. 

Etkinleştirildiğinde sana ve yakınındaki müttefiklere 6 saniyeliğine Saldırı Hızı güçlendirmesi verir ve sana ayrıca aynı süre boyunca Hareket Hızı, Aceleci ve Temel Saldırı Gücü sağlar.","2025-04-08T13:58:07Z","2025-04-08T13:22:29Z","HW.God.Ability.Descriptions"
"","false","false","HW.God.Ability.Descriptions,Poseidon.Talent.1.A01.InGame.Short","Summon a wave, dealing <keyword tag=""Keyword.DamageMagical"">{Talent_Damage_Formula} [{DamageScaling_Scaling_Percent}] Magical Damage</> and <keyword tag=""Keyword.CC.Hard.Knockback"">Knock Back</> enemies.

  • Tide Cost -15%
  • These waves pass through everything",,,,,,,,,,,"2025-04-08T13:58:07Z","2025-04-03T20:26:00Z","HW.God.Ability.Descriptions"
"","false","false","HW.God.Ability.Descriptions,Poseidon.Talent.1.A01.OutOfGame","Summon a wave, dealing <keyword tag=""Keyword.DamageMagical"">Magical Damage</> and <keyword tag=""Keyword.CC.Hard.Knockback"">Knock Back</> enemies.

  • Tide Cost -15%
  • These waves pass through everything",,,,,,,,,,,"2025-04-08T13:58:08Z","2025-04-03T20:26:00Z","HW.God.Ability.Descriptions"
"","false","false","HW.GodsPage.Builder,Labe.CommunityBuilds","Community Builds",,,,,,,,,,,"2025-03-17T15:04:26Z","2025-03-17T14:57:18Z","HW.GodsPage.Builder"
,"false","false","HW.GodsPage.Builder,Label.AddEntry","Add Entry",,,,,,,,,,,"2025-03-24T16:41:58Z","2025-03-24T16:41:57Z","HW.GodsPage.Builder"
"","false","false","HW.GodsPage.Builder,Label.Author","Author:",,,,,,,,,,,"2025-03-31T12:06:34Z","2025-03-31T12:06:34Z","HW.GodsPage.Builder"
"","false","false","HW.GodsPage.Builder,Label.Clear","Clear","Effacer","Löschen","Limpar","Quitar","クリア","清除","Wyczyść",,"Очистить","Temizle","2025-04-08T13:22:33Z","2025-04-08T13:22:33Z","HW.GodsPage.Builder"
"","false","false","HW.GodsPage.Builder,Label.CopyTo","Copy To...",,,,,,,,,,,"2025-03-17T14:57:18Z","2025-03-17T14:57:18Z","HW.GodsPage.Builder"
"","false","false","HW.GodsPage.Builder,Label.CreateBuild","Create Build",,,,,,,,,,,"2025-04-08T13:22:33Z","2025-04-08T13:22:33Z","HW.GodsPage.Builder"
"","false","false","HW.GodsPage.Builder,Label.Delete","Delete","Suppr","Löschen",,"Borrado","Deleteキー","Delete",,,,"Sil","2025-04-08T13:22:33Z","2025-04-08T13:22:33Z","HW.GodsPage.Builder"
